Write to file (w) or plot (p):         131232 function calls (128634 primitive calls) in 4408.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 tempfile.py:230(_mkstemp_inner)
     15/9    0.000    0.000    0.001    0.000 pyparsing.py:2240(copy)
     1596    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
       29    0.001    0.000    0.001    0.000 pkg_resources.py:2685(_get_mro)
     4001    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      395    0.001    0.000    0.001    0.000 posixpath.py:68(join)
        1    0.000    0.000    0.001    0.001 __init__.py:591(_get_configdir)
      338    0.001    0.000    0.001    0.000 sre_compile.py:354(_simple)
        1    0.001    0.001    0.001    0.001 Tkinter.py:2886(Text)
     1532    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x91f8e0}
       50    0.001    0.000    0.001    0.000 colors.py:326(to_rgba)
        1    0.001    0.001    0.001    0.001 __init__.py:886(rc_params_from_file)
       13    0.000    0.000    0.001    0.000 path.py:99(__init__)
        1    0.001    0.001    0.001    0.001 csv.py:4(<module>)
       12    0.001    0.000    0.001    0.000 {imp.find_module}
      142    0.000    0.000    0.001    0.000 colors.py:668(__init__)
        1    0.000    0.000    0.001    0.001 version.py:63(StrictVersion)
       11    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
      200    0.000    0.000    0.001    0.000 posixpath.py:104(splitext)
        1    0.001    0.001    0.001    0.001 polar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 path.py:13(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       93    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
       10    0.000    0.000    0.001    0.000 pkg_resources.py:1368(get_metadata_lines)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.001    0.001 markers.py:76(<module>)
       10    0.000    0.000    0.001    0.000 pkg_resources.py:1358(get_metadata)
      8/4    0.000    0.000    0.001    0.000 pyparsing.py:2167(leaveWhitespace)
       34    0.000    0.000    0.001    0.000 pyparsing.py:1142(__add__)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:420(_ZipDecrypter)
     1698    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 zipfile.py:433(_GenerateCRCTable)
       65    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.001    0.001    0.001    0.001 art3d.py:9(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:90(MarkerStyle)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
       10    0.000    0.000    0.001    0.000 pkg_resources.py:1469(_get)
      200    0.000    0.000    0.001    0.000 genericpath.py:85(_splitext)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:2867(ArrowStyle)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
       14    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.001    0.001 artist.py:859(ArtistInspector)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
     1031    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1789    0.001    0.000    0.001    0.000 {min}
      310    0.000    0.000    0.001    0.000 pkg_resources.py:2341(__getattr__)
        3    0.001    0.000    0.001    0.000 {posix.open}
       23    0.000    0.000    0.001    0.000 core.py:5997(getdoc)
     2654    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       65    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       34    0.000    0.000    0.001    0.000 pyparsing.py:2257(__init__)
    80/58    0.000    0.000    0.001    0.000 {issubclass}
        7    0.000    0.000    0.001    0.000 pyparsing.py:764(setResultsName)
      942    0.001    0.000    0.001    0.000 {range}
      711    0.000    0.000    0.001    0.000 inspect.py:142(isfunction)
        1    0.001    0.001    0.001    0.001 errors.py:9(<module>)
       73    0.001    0.000    0.001    0.000 {numpy.core.multiarray.array}
        1    0.001    0.001    0.001    0.001 font_manager.py:591(FontProperties)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
      366    0.000    0.000    0.001    0.000 copy_reg.py:46(_reconstructor)
        6    0.000    0.000    0.001    0.000 patches.py:1573(_pprint_table)
    18/14    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 zipfile.py:501(ZipExtFile)
       27    0.001    0.000    0.001    0.000 {posix.access}
      120    0.000    0.000    0.001    0.000 posixpath.py:127(dirname)
        1    0.001    0.001    0.001    0.001 tkagg.py:1(<module>)
      290    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 scale.py:1(<module>)
        1    0.000    0.000    0.001    0.001 version.py:228(LooseVersion)
      407    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
      670    0.000    0.000    0.000    0.000 {hasattr}
      520    0.000    0.000    0.000    0.000 <string>:8(__new__)
      485    0.000    0.000    0.000    0.000 urllib.py:1206(<genexpr>)
       14    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
      130    0.000    0.000    0.000    0.000 pyparsing.py:723(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3145(oneOf)
